affixe,chiens,presentations,resultats,points,chiens_resultats,haut_niveau,CACIT,RCACIT,CACT,RCACT,EXC,TB,CQN,taux_resultat,score_moyen_presentation,points_moyens_par_chien,pct_chiens_resultats,fiabilite,chiens_leaders,disciplines_fortes,indice_affixe
DU POULIT SAN DAN,2,52,7,267,2,0,0,0,0,0,2,5,0,0.1346153846153846,5.134615384615385,133.5,1.0,échantillon faible,"CHULO I DU POULIT SAN DAN, AMADEUS DU POULIT SAN DAN","printemps, discipline_non_identifiee",32.211398881344195
DE NEO BRAZ,2,30,5,342,1,3,0,0,3,0,2,0,0,0.16666666666666666,11.4,171.0,0.5,échantillon faible,"OLAF DE NEO BRAZ, ONLY YOU DE NEO BRAZ","discipline_non_identifiee, printemps",32.19280220878575
DEL PO,1,42,4,217,1,1,0,0,1,0,2,1,0,0.09523809523809523,5.166666666666667,217.0,1.0,échantillon faible,UHAINA DELLE RIVE DEL PO,"discipline_non_identifiee, becasse",32.18738171180336
DU KOAD AR KEFELEG,1,30,5,250,1,0,0,0,0,0,4,0,1,0.16666666666666666,8.333333333333334,250.0,1.0,échantillon faible,STERENN DU KOAD AR KEFELEG,becasse,32.130027695183664
DEL URUMEA,1,34,3,190,1,1,0,0,1,0,2,0,0,0.08823529411764706,5.588235294117647,190.0,1.0,échantillon faible,LAI DEL URUMEA,becasse,31.828790827223237
DU CLOS DE PERLIN,3,39,2,120,1,0,0,0,0,0,2,0,0,0.05128205128205128,3.076923076923077,40.0,0.3333333333333333,exploitable,"OLLY DU CLOS DE PERLIN, HORUS DU CLOS DE PERLIN, LILOU DU CLOS DE PERLIN","becasse, printemps",31.780424567895626
DE FUENTE LA PLAT,1,33,3,180,1,1,0,0,0,1,2,0,0,0.09090909090909091,5.454545454545454,180.0,1.0,échantillon faible,RODRIGO DE FUENTE LA PLAT,becasse,31.638670386246925
DES CHAMPS NAVOICHE,1,25,5,218,1,0,0,0,0,0,3,2,0,0.2,8.72,218.0,1.0,échantillon faible,UBIA DES CHAMPS NAVOICHE,"printemps, discipline_non_identifiee",31.622745219177446
DES SETTERS DU PLATEAU DU MID,3,33,3,121,1,0,0,0,0,0,1,2,0,0.09090909090909091,3.6666666666666665,40.333333333333336,0.3333333333333333,exploitable,"TOTTI DES SETTERS DU PLATEAU DU MID, SCOTT DES SETTERS DU PLATEAU DU MID, SILVER DES SETTERS DU PLATEAU DU MID","becassine, becasse",31.60361166861263
DES BELLES DE L'ADOUR,1,37,5,228,1,0,0,0,0,0,3,1,1,0.13513513513513514,6.162162162162162,228.0,1.0,échantillon faible,SOCOA DES BELLES DE L'ADOUR,"becasse, montagne",31.5593231437232
DE CHEZ MILLET,1,12,3,165,1,0,0,0,0,0,3,0,0,0.25,13.75,165.0,1.0,échantillon faible,URKI SOUS LA PLUME DE CHEZ MILLET,"discipline_non_identifiee, printemps, becasse",31.5148206236722
DE LA VALLEE CELTIQUE,2,32,4,210,2,0,0,0,0,0,3,1,0,0.125,6.5625,105.0,1.0,échantillon faible,"ROCH DE LA VALLEE CELTIQUE, VK DE LA VALLEE CELTIQUE",becasse,31.240182349456962
DU GRAND BERGOIN,2,24,5,199,2,0,0,0,0,0,2,3,0,0.20833333333333334,8.291666666666666,99.5,1.0,échantillon faible,"CLOVIS DU GRAND BERGOIN, DOL DU GRAND BERGOIN","discipline_non_identifiee, montagne, becasse",31.190550368917563
